2025-09-11 17:32:49,430 - INFO - ============================================================
2025-09-11 17:32:49,431 - INFO - SISTEMA DE LOGGING INICIALIZADO
2025-09-11 17:32:49,431 - INFO - Archivo de log: logs/traffic_sim_20250911_173249.log
2025-09-11 17:32:49,431 - INFO - Nivel de logging: INFO
2025-09-11 17:32:49,431 - INFO - ============================================================
2025-09-11 17:32:49,714 - INFO - Creados 66 semáforos en total
2025-09-11 17:32:49,715 - INFO - Simulación inicializada correctamente
2025-09-11 17:32:49,715 - INFO - Configuración: 1600x1000
2025-09-11 17:32:49,715 - INFO - Calles creadas: 51
2025-09-11 17:32:49,715 - INFO - Semáforos instalados: 66
2025-09-11 17:32:49,715 - INFO - Edificios: 25
2025-09-11 17:32:49,715 - INFO - Hora inicial: 08:00
2025-09-11 17:32:50,856 - INFO - [17:32:50] NUEVO COMBI - COMBI_2757 en (1200,65)
2025-09-11 17:32:50,857 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en NORTE (100.0%)
2025-09-11 17:32:50,857 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en ESTE (100.0%)
2025-09-11 17:32:51,031 - INFO - ✅ Congestión en NORTE normalizada (0.0%)
2025-09-11 17:32:51,031 - INFO - ✅ Congestión en ESTE normalizada (0.0%)
2025-09-11 17:32:51,979 - INFO - [17:32:51] NUEVO AUTO - AUTO_1324 en (900,78)
2025-09-11 17:32:53,091 - INFO - [17:32:53] NUEVO TAXI - TAXI_2413 en (913,161)
2025-09-11 17:32:54,378 - INFO - [17:32:54] NUEVO COMBI - COMBI_2035 en (1400,25)
2025-09-11 17:32:54,795 - INFO - [17:32:54] SEMÁFORO (1200,200) -> AMARILLO
2025-09-11 17:32:54,907 - INFO - [17:32:54] SEMÁFORO (350,450) -> AMARILLO
2025-09-11 17:32:54,972 - INFO - [17:32:54] SEMÁFORO (600,400) -> AMARILLO
2025-09-11 17:32:54,987 - INFO - [17:32:54] SEMÁFORO (800,100) -> AMARILLO
2025-09-11 17:32:55,292 - INFO - [17:32:55] NUEVO TAXI - TAXI_5136 en (800,36)
2025-09-11 17:32:55,309 - INFO - [17:32:55] SEMÁFORO (1400,200) -> AMARILLO
2025-09-11 17:32:55,388 - INFO - [17:32:55] SEMÁFORO (200,720) -> AMARILLO
2025-09-11 17:32:55,420 - INFO - [17:32:55] SEMÁFORO (400,520) -> AMARILLO
2025-09-11 17:32:55,565 - INFO - [17:32:55] SEMÁFORO (1000,600) -> AMARILLO
2025-09-11 17:32:55,630 - INFO - [17:32:55] PARADA DE PASAJEROS (1.6s) - COMBI_2035 en (1400,105)
2025-09-11 17:32:55,693 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en NORTE (100.0%)
2025-09-11 17:32:55,774 - INFO - [17:32:55] SEMÁFORO (700,600) -> AMARILLO
2025-09-11 17:32:55,823 - INFO - [17:32:55] SEMÁFORO (1100,200) -> AMARILLO
2025-09-11 17:32:55,823 - INFO - [17:32:55] SEMÁFORO (500,100) -> AMARILLO
2025-09-11 17:32:55,856 - INFO - [17:32:55] SEMÁFORO (500,600) -> AMARILLO
2025-09-11 17:32:55,888 - INFO - [17:32:55] SEMÁFORO (1100,500) -> AMARILLO
2025-09-11 17:32:55,983 - INFO - [17:32:55] SEMÁFORO (200,200) -> AMARILLO
2025-09-11 17:32:56,031 - INFO - [17:32:56] SEMÁFORO (1100,300) -> AMARILLO
2025-09-11 17:32:56,062 - INFO - [17:32:56] SEMÁFORO (100,600) -> AMARILLO
2025-09-11 17:32:56,095 - INFO - [17:32:56] SEMÁFORO (500,300) -> AMARILLO
2025-09-11 17:32:56,191 - INFO - [17:32:56] SEMÁFORO (700,200) -> AMARILLO
2025-09-11 17:32:56,303 - INFO - [17:32:56] NUEVO AUTO - AUTO_9529 en (300,75)
2025-09-11 17:32:56,304 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en OESTE (100.0%)
2025-09-11 17:32:56,383 - INFO - [17:32:56] SEMÁFORO (300,300) -> AMARILLO
2025-09-11 17:32:56,401 - INFO - [17:32:56] SEMÁFORO (300,400) -> AMARILLO
2025-09-11 17:32:56,437 - INFO - [17:32:56] SEMÁFORO (900,600) -> AMARILLO
2025-09-11 17:32:56,575 - INFO - [17:32:56] SEMÁFORO (1400,600) -> AMARILLO
2025-09-11 17:32:56,608 - INFO - [17:32:56] SEMÁFORO (300,700) -> AMARILLO
2025-09-11 17:32:56,802 - INFO - ✅ Congestión en OESTE normalizada (0.0%)
2025-09-11 17:32:56,962 - INFO - [17:32:56] SEMÁFORO (800,500) -> AMARILLO
2025-09-11 17:32:56,993 - INFO - [17:32:56] SEMÁFORO (200,600) -> AMARILLO
2025-09-11 17:32:57,042 - INFO - [17:32:57] SEMÁFORO (300,800) -> AMARILLO
2025-09-11 17:32:57,169 - INFO - [17:32:57] SEMÁFORO (100,200) -> AMARILLO
2025-09-11 17:32:57,330 - INFO - [17:32:57] SEMÁFORO (900,200) -> AMARILLO
2025-09-11 17:32:57,361 - INFO - ✅ Congestión en NORTE normalizada (33.3%)
2025-09-11 17:32:57,507 - INFO - [17:32:57] SEMÁFORO (700,350) -> AMARILLO
2025-09-11 17:32:57,538 - INFO - [17:32:57] NUEVO AUTO - AUTO_2448 en (900,89)
2025-09-11 17:32:57,602 - INFO - [17:32:57] SEMÁFORO (800,800) -> AMARILLO
2025-09-11 17:32:57,618 - INFO - [17:32:57] SEMÁFORO (600,200) -> AMARILLO
2025-09-11 17:32:57,635 - INFO - [17:32:57] SEMÁFORO (1300,600) -> AMARILLO
2025-09-11 17:32:57,796 - INFO - [17:32:57] SEMÁFORO (1200,200) -> ROJO
2025-09-11 17:32:57,797 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en NORTE (100.0%)
2025-09-11 17:32:57,797 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en OESTE (100.0%)
2025-09-11 17:32:57,909 - INFO - [17:32:57] SEMÁFORO (350,450) -> ROJO
2025-09-11 17:32:57,957 - INFO - [17:32:57] SEMÁFORO (1100,800) -> AMARILLO
2025-09-11 17:32:57,988 - INFO - [17:32:57] SEMÁFORO (600,400) -> ROJO
2025-09-11 17:32:57,988 - INFO - [17:32:57] SEMÁFORO (1000,200) -> AMARILLO
2025-09-11 17:32:57,988 - INFO - [17:32:57] SEMÁFORO (800,100) -> ROJO
2025-09-11 17:32:57,988 - INFO - [17:32:57] SEMÁFORO (800,700) -> AMARILLO
2025-09-11 17:32:58,036 - INFO - [17:32:58] SEMÁFORO (800,400) -> AMARILLO
2025-09-11 17:32:58,325 - INFO - [17:32:58] SEMÁFORO (1400,200) -> ROJO
2025-09-11 17:32:58,389 - INFO - [17:32:58] SEMÁFORO (200,720) -> ROJO
2025-09-11 17:32:58,422 - INFO - [17:32:58] SEMÁFORO (400,520) -> ROJO
